Country,Country_ISO3,Region,Theme,Plan name,SP_Label,Strategic priority code,Agencies
Philippines,PHL,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PHL_work_1,1.0,United Nations Population Fund
Bangladesh,BGD,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,BGD_work_1,1.0,UN Women
Pakistan,PAK,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PAK_work_1,1.0,World Health Organization
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,International Organization for Migration; United Nations Development Programme
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,United Nations High Commissioner for Refugees
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,United Nations High Commissioner for Refugees
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,United Nations High Commissioner for Refugees
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,International Labour Organisation; United Nations Office on Drugs and Crime
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,International Labour Organisation; UN Women
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,International Labour Organisation; UN Women
Papua New Guinea,PNG,Asia Pacific,work,United Nations Development Assistance Framework,PNG_work_1,1.0,United Nations High Commissioner for Human Rights
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,International Labour Organisation
Bangladesh,BGD,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,BGD_work_1,1.0,Food and Agriculture Organization of the United Nations
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,International Labour Organisation; UN Women
Mongolia,MNG,Asia Pacific,work,United Nations Development Assistance Framework,MNG_work_1,1.0,"United Nations Educational, Scientific and Cultural Organisation"
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,International Labour Organisation
Nepal,NPL,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,NPL_work_1,1.0,United Nations Development Programme
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,"United Nations Educational, Scientific and Cultural Organisation"
Nepal,NPL,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,NPL_work_1,1.0,International Labour Organisation
Sri Lanka,LKA,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LKA_work_1,1.0,United Nations Children's Fund
Bangladesh,BGD,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,BGD_work_1,1.0,UN Women
Nepal,NPL,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,NPL_work_1,1.0,International Labour Organisation
Pakistan,PAK,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PAK_work_1,1.0,International Labour Organisation; World Health Organization
Nepal,NPL,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,NPL_work_1,1.0,International Organization for Migration
Mongolia,MNG,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,MNG_work_1,1.0,United Nations Office for Disaster Risk Reduction
Mongolia,MNG,Asia Pacific,work,United Nations Development Assistance Framework,MNG_work_1,1.0,United Nations Industrial Development Organization
India,IND,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IND_work_1,1.0,United Nations Population Fund; World Health Organization
Mongolia,MNG,Asia Pacific,work,United Nations Development Assistance Framework,MNG_work_1,1.0,International Labour Organisation
Mongolia,MNG,Asia Pacific,work,United Nations Development Assistance Framework,MNG_work_1,1.0,Food and Agriculture Organization of the United Nations
Viet Nam,VNM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,VNM_work_1,1.0,International Labour Organisation; UN Women
Pakistan,PAK,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PAK_work_1,1.0,International Labour Organisation; World Health Organization
Pakistan,PAK,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PAK_work_1,1.0,International Labour Organisation; United Nations Development Programme; United Nations Joint Programme on HIV and AIDS Secretariat; United Nations Office on Drugs and Crime; World Health Organization
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,International Labour Organisation
Papua New Guinea,PNG,Asia Pacific,work,United Nations Development Assistance Framework,PNG_work_1,1.0,World Health Organization
Viet Nam,VNM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,VNM_work_1,1.0,United Nations Population Fund
Papua New Guinea,PNG,Asia Pacific,work,United Nations Development Assistance Framework,PNG_work_1,1.0,United Nations Children's Fund
Papua New Guinea,PNG,Asia Pacific,work,United Nations Development Assistance Framework,PNG_work_1,1.0,United Nations Children's Fund
Sri Lanka,LKA,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LKA_work_1,1.0,World Health Organization
Sri Lanka,LKA,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LKA_work_1,1.0,World Health Organization
Viet Nam,VNM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,VNM_work_1,1.0,UN Women
Pakistan,PAK,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PAK_work_1,1.0,United Nations Children's Fund; World Health Organization
Bangladesh,BGD,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,BGD_work_1,1.0,International Labour Organisation
Mongolia,MNG,Asia Pacific,work,United Nations Development Assistance Framework,MNG_work_1,1.0,United Nations Development Programme
India,IND,Asia Pacific,work,United Nations Development Assistance Framework,IND_work_1,1.0,United Nations Development Programme
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,United Nations Population Fund
Viet Nam,VNM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,VNM_work_1,1.0,United Nations Children's Fund
Viet Nam,VNM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,VNM_work_1,1.0,United Nations Joint Programme on HIV and AIDS Secretariat
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,Food and Agriculture Organization of the United Nations
Viet Nam,VNM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,VNM_work_1,1.0,United Nations Children's Fund
Viet Nam,VNM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,VNM_work_1,1.0,United Nations Children's Fund
Papua New Guinea,PNG,Asia Pacific,work,United Nations Development Assistance Framework,PNG_work_1,1.0,United Nations Children's Fund; World Health Organization
Lao People's Democratic Republic,LAO,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LAO_work_1,1.0,International Labour Organisation
Sri Lanka,LKA,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LKA_work_1,1.0,United Nations Development Programme
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,United Nations Development Programme
Lao People's Democratic Republic,LAO,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LAO_work_1,1.0,International Organization for Migration
Viet Nam,VNM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,VNM_work_1,1.0,UN Women
Timor-Leste,TLS,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,TLS_work_1,1.0,United Nations Children's Fund; United Nations World Food Programme; World Health Organization
Papua New Guinea,PNG,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PNG_work_1,1.0,United Nations High Commissioner for Human Rights
India,IND,Asia Pacific,work,United Nations Development Assistance Framework,IND_work_1,1.0,United Nations Children's Fund; United Nations Development Programme; United Nations Human Settlement Programme; United Nations Population Fund
Lao People's Democratic Republic,LAO,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LAO_work_1,1.0,United Nations Capital Development Fund
Viet Nam,VNM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,VNM_work_1,1.0,International Labour Organisation
Viet Nam,VNM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,VNM_work_1,1.0,International Labour Organisation
Viet Nam,VNM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,VNM_work_1,1.0,International Labour Organisation
Viet Nam,VNM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,VNM_work_1,1.0,International Labour Organisation
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,International Labour Organisation
Pakistan,PAK,Asia Pacific,work,United Nations Development Assistance Framework,PAK_work_1,1.0,United Nations Industrial Development Organization
Sri Lanka,LKA,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LKA_work_3,3.0,United Nations Population Fund
Timor-Leste,TLS,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,TLS_work_1,1.0,United Nations Children's Fund; United Nations World Food Programme; World Health Organization
China,CHN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,CHN_work_1,1.0,"United Nations Educational, Scientific and Cultural Organisation"
Bhutan,BTN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,BTN_work_1,1.0,United Nations Development Programme
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,International Telecommunication Union
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,United Nations Population Fund
Timor-Leste,TLS,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,TLS_work_1,1.0,United Nations Children's Fund; United Nations World Food Programme; World Health Organization
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,United Nations High Commissioner for Refugees
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,United Nations Population Fund
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,United Nations Office on Drugs and Crime
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,United Nations Office on Drugs and Crime
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,United Nations Development Programme
Indonesia,IDN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IDN_work_1,1.0,"United Nations Educational, Scientific and Cultural Organisation"
Papua New Guinea,PNG,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PNG_work_1,1.0,UN Women
Papua New Guinea,PNG,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PNG_work_1,1.0,United Nations Capital Development Fund
Sri Lanka,LKA,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LKA_work_3,3.0,United Nations Children's Fund
Cambodia,KHM,Asia Pacific,work,United Nations Development Assistance Framework,KHM_work_3,3.0,United Nations Environment Programme
Cambodia,KHM,Asia Pacific,work,United Nations Development Assistance Framework,KHM_work_1,1.0,International Labour Organisation
Papua New Guinea,PNG,Asia Pacific,work,United Nations Development Assistance Framework,PNG_work_1,1.0,UN Women; United Nations Joint Programme on HIV and AIDS Secretariat
Timor-Leste,TLS,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,TLS_work_5,5.0,UN Women
Malaysia,MYS,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,MYS_work_1,1.0,United Nations Development Programme
China,CHN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,CHN_work_1,1.0,"UN Women; United Nations Development Programme; United Nations Educational, Scientific and Cultural Organisation; United Nations Joint Programme on HIV and AIDS Secretariat; United Nations Population Fund; World Health Organization"
Philippines,PHL,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PHL_work_1,1.0,United Nations High Commissioner for Refugees
Lao People's Democratic Republic,LAO,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LAO_work_1,1.0,International Labour Organisation
Papua New Guinea,PNG,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PNG_work_1,1.0,UN Women
Pakistan,PAK,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PAK_work_1,1.0,Food and Agriculture Organization of the United Nations; United Nations Children's Fund; United Nations World Food Programme; World Health Organization
Nepal,NPL,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,NPL_work_1,1.0,International Organization for Migration
Nepal,NPL,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,NPL_work_1,1.0,Food and Agriculture Organization of the United Nations
Papua New Guinea,PNG,Asia Pacific,work,United Nations Development Assistance Framework,PNG_work_1,1.0,World Health Organization
Nepal,NPL,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,NPL_work_1,1.0,International Organization for Migration
Nepal,NPL,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,NPL_work_1,1.0,International Labour Organisation
Papua New Guinea,PNG,Asia Pacific,work,United Nations Development Assistance Framework,PNG_work_1,1.0,United Nations High Commissioner for Human Rights
Viet Nam,VNM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,VNM_work_1,1.0,Food and Agriculture Organization of the United Nations; United Nations Children's Fund; United Nations Joint Programme on HIV and AIDS Secretariat; United Nations Population Fund; World Health Organization
Papua New Guinea,PNG,Asia Pacific,work,United Nations Development Assistance Framework,PNG_work_1,1.0,United Nations Population Fund
Viet Nam,VNM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,VNM_work_1,1.0,World Health Organization
Nepal,NPL,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,NPL_work_1,1.0,International Labour Organisation
Viet Nam,VNM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,VNM_work_1,1.0,United Nations Joint Programme on HIV and AIDS Secretariat
Viet Nam,VNM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,VNM_work_1,1.0,International Organization for Migration; United Nations Children's Fund; World Health Organization
Nepal,NPL,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,NPL_work_1,1.0,International Labour Organisation
Nepal,NPL,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,NPL_work_1,1.0,International Labour Organisation
Papua New Guinea,PNG,Asia Pacific,work,United Nations Development Assistance Framework,PNG_work_1,1.0,United Nations Children's Fund
Papua New Guinea,PNG,Asia Pacific,work,United Nations Development Assistance Framework,PNG_work_1,1.0,World Health Organization
Papua New Guinea,PNG,Asia Pacific,work,United Nations Development Assistance Framework,PNG_work_1,1.0,United Nations Children's Fund
Papua New Guinea,PNG,Asia Pacific,work,United Nations Development Assistance Framework,PNG_work_1,1.0,United Nations Population Fund
Papua New Guinea,PNG,Asia Pacific,work,United Nations Development Assistance Framework,PNG_work_1,1.0,United Nations Population Fund
Viet Nam,VNM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,VNM_work_1,1.0,United Nations Joint Programme on HIV and AIDS Secretariat
Nepal,NPL,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,NPL_work_1,1.0,International Labour Organisation
Viet Nam,VNM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,VNM_work_1,1.0,World Health Organization
Malaysia,MYS,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,MYS_work_1,1.0,United Nations Development Programme
China,CHN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,CHN_work_1,1.0,International Labour Organisation
Papua New Guinea,PNG,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PNG_work_1,1.0,UN Women
Bangladesh,BGD,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,BGD_work_1,1.0,International Labour Organisation
Malaysia,MYS,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,MYS_work_1,1.0,United Nations Development Programme
China,CHN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,CHN_work_1,1.0,International Labour Organisation; UN Women
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,United Nations Population Fund
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,United Nations Office for Project Services
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,United Nations Development Programme
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,United Nations Children's Fund
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,United Nations Population Fund
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,United Nations Development Programme
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,United Nations Population Fund
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,United Nations Population Fund
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,United Nations Population Fund
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,United Nations Children's Fund
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,Food and Agriculture Organization of the United Nations
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,United Nations Children's Fund
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,United Nations Children's Fund
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,United Nations Development Programme
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,United Nations Development Programme
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,United Nations Development Programme
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,UN Women
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,UN Women
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,UN Women
China,CHN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,CHN_work_1,1.0,International Labour Organisation
Mongolia,MNG,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,MNG_work_1,1.0,"United Nations Educational, Scientific and Cultural Organisation"
Maldives,MDV,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,MDV_work_1,1.0,International Labour Organisation
Mongolia,MNG,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,MNG_work_1,1.0,"United Nations Educational, Scientific and Cultural Organisation"
China,CHN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,CHN_work_1,1.0,International Labour Organisation; UN Women
Maldives,MDV,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,MDV_work_1,1.0,World Health Organization
China,CHN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,CHN_work_1,1.0,UN Women
Thailand,THA,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,THA_work_2,2.0,International Telecommunication Union
Cambodia,KHM,Asia Pacific,work,United Nations Development Assistance Framework,KHM_work_1,1.0,International Labour Organisation
Malaysia,MYS,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,MYS_work_1,1.0,International Labour Organisation
Cambodia,KHM,Asia Pacific,work,United Nations Development Assistance Framework,KHM_work_1,1.0,UN Women
Timor-Leste,TLS,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,TLS_work_5,5.0,United Nations High Commissioner for Human Rights
Malaysia,MYS,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,MYS_work_1,1.0,United Nations Children's Fund
Papua New Guinea,PNG,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PNG_work_1,1.0,UN Women
Timor-Leste,TLS,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,TLS_work_2,2.0,International Organization for Migration
Bangladesh,BGD,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,BGD_work_1,1.0,United Nations Volunteers
Lao People's Democratic Republic,LAO,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LAO_work_1,1.0,United Nations Development Programme
Lao People's Democratic Republic,LAO,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LAO_work_1,1.0,United Nations Office for Disaster Risk Reduction
China,CHN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,CHN_work_1,1.0,International Labour Organisation; UN Women
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,United Nations Office for the Coordination of Humanitarian Affairs
Maldives,MDV,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,MDV_work_1,1.0,International Organization for Migration
Bangladesh,BGD,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,BGD_work_1,1.0,UN Women
Lao People's Democratic Republic,LAO,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LAO_work_1,1.0,United Nations Environment Programme
China,CHN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,CHN_work_1,1.0,"International Labour Organisation; UN Women; United Nations Educational, Scientific and Cultural Organisation; United Nations Joint Programme on HIV and AIDS Secretariat"
Viet Nam,VNM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,VNM_work_1,1.0,United Nations Population Fund
Sri Lanka,LKA,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LKA_work_1,1.0,United Nations Children's Fund
Papua New Guinea,PNG,Asia Pacific,work,United Nations Development Assistance Framework,PNG_work_1,1.0,United Nations Children's Fund
Sri Lanka,LKA,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LKA_work_3,3.0,United Nations Population Fund
Mongolia,MNG,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,MNG_work_1,1.0,International Labour Organisation
Papua New Guinea,PNG,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PNG_work_1,1.0,UN Women
Maldives,MDV,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,MDV_work_1,1.0,International Labour Organisation
Pakistan,PAK,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PAK_work_1,1.0,United Nations Human Settlement Programme
China,CHN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,CHN_work_1,1.0,"United Nations Development Programme; United Nations Educational, Scientific and Cultural Organisation; United Nations Joint Programme on HIV and AIDS Secretariat; United Nations Population Fund"
Sri Lanka,LKA,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LKA_work_3,3.0,United Nations Population Fund
Malaysia,MYS,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,MYS_work_1,1.0,World Health Organization
Pakistan,PAK,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PAK_work_1,1.0,World Health Organization
Sri Lanka,LKA,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LKA_work_1,1.0,United Nations Volunteers
Afghanistan,AFG,Asia Pacific,work,United Nations Development Assistance Framework,AFG_work_1,1.0,United Nations High Commissioner for Refugees
Afghanistan,AFG,Asia Pacific,work,United Nations Development Assistance Framework,AFG_work_3,3.0,United Nations Human Settlement Programme
Afghanistan,AFG,Asia Pacific,work,United Nations Development Assistance Framework,AFG_work_3,3.0,International Labour Organisation
Malaysia,MYS,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,MYS_work_2,2.0,United Nations Development Programme
Sri Lanka,LKA,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LKA_work_2,2.0,United Nations Population Fund
Sri Lanka,LKA,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LKA_work_3,3.0,International Labour Organisation
Cambodia,KHM,Asia Pacific,work,United Nations Development Assistance Framework,KHM_work_5,5.0,International Labour Organisation
Cambodia,KHM,Asia Pacific,work,United Nations Development Assistance Framework,KHM_work_4,4.0,United Nations Development Programme
Sri Lanka,LKA,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LKA_work_2,2.0,United Nations Development Programme
Thailand,THA,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,THA_work_3,3.0,UN Women
Cambodia,KHM,Asia Pacific,work,United Nations Development Assistance Framework,KHM_work_3,3.0,United Nations Development Programme
Afghanistan,AFG,Asia Pacific,work,United Nations Development Assistance Framework,AFG_work_2,2.0,"United Nations Educational, Scientific and Cultural Organisation"
Philippines,PHL,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PHL_work_1,1.0,International Labour Organisation
Philippines,PHL,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PHL_work_1,1.0,United Nations High Commissioner for Refugees
Cambodia,KHM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,KHM_work_2,2.0,United Nations Development Programme
Pakistan,PAK,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PAK_work_1,1.0,"United Nations Educational, Scientific and Cultural Organisation"
Papua New Guinea,PNG,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PNG_work_1,1.0,United Nations Children's Fund
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,United Nations Development Programme; United Nations Office on Drugs and Crime
Pakistan,PAK,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PAK_work_1,1.0,International Labour Organisation
Sri Lanka,LKA,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LKA_work_3,3.0,United Nations Population Fund
"Iran, Islamic Republic of",IRN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,IRN_work_4,4.0,United Nations Children's Fund
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,International Labour Organisation; UN Women
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,United Nations Population Fund
Indonesia,IDN,Asia Pacific,work,United Nations Development Assistance Framework,IDN_work_1,1.0,International Labour Organisation; International Organization for Migration
Cambodia,KHM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,KHM_work_2,2.0,International Labour Organisation; United Nations Industrial Development Organization
China,CHN,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,CHN_work_1,1.0,"United Nations Educational, Scientific and Cultural Organisation"
Papua New Guinea,PNG,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PNG_work_1,1.0,UN Women
Sri Lanka,LKA,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LKA_work_3,3.0,United Nations Human Settlement Programme
Papua New Guinea,PNG,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PNG_work_1,1.0,UN Women
Sri Lanka,LKA,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LKA_work_3,3.0,United Nations Human Settlement Programme
Cambodia,KHM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,KHM_work_2,2.0,International Trade Centre
Cambodia,KHM,Asia Pacific,work,United Nations Development Assistance Framework,KHM_work_3,3.0,United Nations Development Programme
Philippines,PHL,Asia Pacific,work,United Nations Development Assistance Framework,PHL_work_3,3.0,United Nations Population Fund
Malaysia,MYS,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,MYS_work_3,3.0,International Labour Organisation
Philippines,PHL,Asia Pacific,work,United Nations Development Assistance Framework,PHL_work_1,1.0,United Nations Joint Programme on HIV and AIDS Secretariat
Sri Lanka,LKA,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,LKA_work_3,3.0,United Nations Children's Fund
Cambodia,KHM,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,KHM_work_2,2.0,International Labour Organisation
Philippines,PHL,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,PHL_work_1,1.0,United Nations Human Settlement Programme
Malaysia,MYS,Asia Pacific,work,United Nations Sustainable Development Cooperation Framework,MYS_work_3,3.0,United Nations Children's Fund
