Country,Country_ISO3,Region,Theme,Plan name,SP_Label,Strategic priority code,SDG Goals
Turkey,TUR,Europe and Central Asia,youth,United Nations Sustainable Development Cooperation Framework,TUR_youth_2,2.0,8 Decent Jobs and Economic Growth
Ukraine,UKR,Europe and Central Asia,youth,United Nations Development Assistance Framework,UKR_youth_3,3.0,5 Gender Equality; 10 Reduced Inequalities; 16 Peace and Justice - Strong Institutions
Albania,ALB,Europe and Central Asia,youth,United Nations Sustainable Development Cooperation Framework,ALB_youth_2,2.0,1 No Poverty; 8 Decent Jobs and Economic Growth
"Moldova, Republic of",MDA,Europe and Central Asia,youth,United Nations Sustainable Development Cooperation Framework,MDA_youth_1,1.0,16 Peace and Justice - Strong Institutions
"Moldova, Republic of",MDA,Europe and Central Asia,youth,United Nations Sustainable Development Cooperation Framework,MDA_youth_1,1.0,-
Tajikistan,TJK,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TJK_food_1,1.0,2 Zero Hunger; 4 Quality Education
Tajikistan,TJK,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TJK_food_2,2.0,2 Zero Hunger
Belarus,BLR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,BLR_food_1,1.0,2 Zero Hunger; 10 Reduced Inequalities
Kazakhstan,KAZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KAZ_food_3,3.0,1 No Poverty; 2 Zero Hunger; 8 Decent Jobs and Economic Growth
Uzbekistan,UZB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UZB_food_3,3.0,"1 No Poverty; 2 Zero Hunger; 8 Decent Jobs and Economic Growth; 9 Industry, Innovation and Infrastructure"
Albania,ALB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ALB_food_2,2.0,2 Zero Hunger; 5 Gender Equality
Turkey,TUR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TUR_food_2,2.0,2 Zero Hunger; 8 Decent Jobs and Economic Growth
Armenia,ARM,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ARM_food_2,2.0,1 No Poverty; 2 Zero Hunger; 7 Affordable and Clean Energy; 12 Responsible Consumption and Production
Azerbaijan,AZE,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,AZE_food_1,1.0,2 Zero Hunger
Azerbaijan,AZE,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,AZE_food_1,1.0,2 Zero Hunger; 14 Life Below Water
Azerbaijan,AZE,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,AZE_food_1,1.0,17 Partnerships for the Goals
Kyrgyzstan,KGZ,Europe and Central Asia,food,United Nations Development Assistance Framework,KGZ_food_1,1.0,2 Zero Hunger
Kyrgyzstan,KGZ,Europe and Central Asia,food,United Nations Development Assistance Framework,KGZ_food_1,1.0,17 Partnerships for the Goals
Ukraine,UKR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UKR_food_1,1.0,2 Zero Hunger
Ukraine,UKR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UKR_food_1,1.0,2 Zero Hunger
Kyrgyzstan,KGZ,Europe and Central Asia,food,United Nations Development Assistance Framework,KGZ_food_1,1.0,2 Zero Hunger
Turkmenistan,TKM,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TKM_food_2,2.0,2 Zero Hunger
Ukraine,UKR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UKR_food_1,1.0,2 Zero Hunger
Ukraine,UKR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UKR_food_1,1.0,8 Decent Jobs and Economic Growth
Ukraine,UKR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UKR_food_1,1.0,2 Zero Hunger; 8 Decent Jobs and Economic Growth
Ukraine,UKR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UKR_food_1,1.0,2 Zero Hunger
Ukraine,UKR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UKR_food_1,1.0,2 Zero Hunger
Serbia,SRB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,SRB_food_1,1.0,2 Zero Hunger
Azerbaijan,AZE,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,AZE_food_1,1.0,2 Zero Hunger; 8 Decent Jobs and Economic Growth
Kyrgyzstan,KGZ,Europe and Central Asia,food,United Nations Development Assistance Framework,KGZ_food_1,1.0,2 Zero Hunger
Azerbaijan,AZE,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,AZE_food_1,1.0,1 No Poverty; 2 Zero Hunger
Azerbaijan,AZE,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,AZE_food_1,1.0,2 Zero Hunger
Albania,ALB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ALB_food_1,1.0,3 Good Health and Well-being
Turkey,TUR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TUR_food_2,2.0,2 Zero Hunger; 8 Decent Jobs and Economic Growth
Bosnia and Herzegovina,BIH,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,BIH_food_1,1.0,8 Decent Jobs and Economic Growth
Bosnia and Herzegovina,BIH,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,BIH_food_1,1.0,12 Responsible Consumption and Production
Kyrgyzstan,KGZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KGZ_food_1,1.0,1 No Poverty; 2 Zero Hunger; 10 Reduced Inequalities
Bosnia and Herzegovina,BIH,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,BIH_food_1,1.0,1 No Poverty; 2 Zero Hunger
Kyrgyzstan,KGZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KGZ_food_1,1.0,17 Partnerships for the Goals
Armenia,ARM,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ARM_food_2,2.0,1 No Poverty; 2 Zero Hunger; 4 Quality Education
Kyrgyzstan,KGZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KGZ_food_1,1.0,1 No Poverty; 2 Zero Hunger; 5 Gender Equality; 8 Decent Jobs and Economic Growth
Serbia,SRB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,SRB_food_1,1.0,12 Responsible Consumption and Production
Serbia,SRB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,SRB_food_1,1.0,2 Zero Hunger
Serbia,SRB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,SRB_food_1,1.0,2 Zero Hunger
Serbia,SRB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,SRB_food_1,1.0,2 Zero Hunger
North Macedonia,MKD,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,MKD_food_1,1.0,2 Zero Hunger; 8 Decent Jobs and Economic Growth
Serbia,SRB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,SRB_food_1,1.0,2 Zero Hunger; 5 Gender Equality; 12 Responsible Consumption and Production; 15 Life on Land
Serbia,SRB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,SRB_food_1,1.0,2 Zero Hunger; 5 Gender Equality; 12 Responsible Consumption and Production; 15 Life on Land
Serbia,SRB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,SRB_food_1,1.0,2 Zero Hunger; 5 Gender Equality; 12 Responsible Consumption and Production; 15 Life on Land
Serbia,SRB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,SRB_food_1,1.0,2 Zero Hunger; 5 Gender Equality; 12 Responsible Consumption and Production; 15 Life on Land
Serbia,SRB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,SRB_food_1,1.0,2 Zero Hunger; 11 Sustainable Cities and Communities
Serbia,SRB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,SRB_food_1,1.0,2 Zero Hunger
Turkey,TUR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TUR_food_3,3.0,15 Life on Land
Ukraine,UKR,Europe and Central Asia,food,United Nations Development Assistance Framework,UKR_food_3,3.0,5 Gender Equality
Turkey,TUR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TUR_food_2,2.0,2 Zero Hunger
Kazakhstan,KAZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KAZ_food_3,3.0,2 Zero Hunger
Armenia,ARM,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ARM_food_4,4.0,5 Gender Equality
Armenia,ARM,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ARM_food_2,2.0,1 No Poverty; 2 Zero Hunger; 8 Decent Jobs and Economic Growth; 10 Reduced Inequalities
Turkey,TUR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TUR_food_2,2.0,2 Zero Hunger; 8 Decent Jobs and Economic Growth; 12 Responsible Consumption and Production
Armenia,ARM,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ARM_food_3,3.0,17 Partnerships for the Goals
Turkey,TUR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TUR_food_3,3.0,11 Sustainable Cities and Communities; 12 Responsible Consumption and Production; 15 Life on Land
Tajikistan,TJK,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TJK_food_2,2.0,2 Zero Hunger
Kazakhstan,KAZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KAZ_food_3,3.0,1 No Poverty; 2 Zero Hunger; 8 Decent Jobs and Economic Growth
Tajikistan,TJK,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TJK_food_2,2.0,1 No Poverty; 2 Zero Hunger; 8 Decent Jobs and Economic Growth; 13 Climate Action
Bosnia and Herzegovina,BIH,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,BIH_food_1,1.0,2 Zero Hunger; 3 Good Health and Well-being; 5 Gender Equality
Bosnia and Herzegovina,BIH,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,BIH_food_1,1.0,1 No Poverty
Bosnia and Herzegovina,BIH,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,BIH_food_1,1.0,12 Responsible Consumption and Production
Turkey,TUR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TUR_food_1,1.0,5 Gender Equality; 8 Decent Jobs and Economic Growth
"Moldova, Republic of",MDA,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,MDA_food_2,2.0,8 Decent Jobs and Economic Growth
"Moldova, Republic of",MDA,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,MDA_food_2,2.0,8 Decent Jobs and Economic Growth
"Moldova, Republic of",MDA,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,MDA_food_2,2.0,12 Responsible Consumption and Production
Kyrgyzstan,KGZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KGZ_food_2,2.0,5 Gender Equality
Albania,ALB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ALB_food_2,2.0,2 Zero Hunger; 3 Good Health and Well-being; 8 Decent Jobs and Economic Growth
Tajikistan,TJK,Europe and Central Asia,food,United Nations Development Assistance Framework,TJK_food_2,2.0,1 No Poverty; 2 Zero Hunger; 5 Gender Equality; 8 Decent Jobs and Economic Growth; 17 Partnerships for the Goals
Montenegro,MNE,Europe and Central Asia,food,United Nations Development Assistance Framework,MNE_food_1,1.0,2 Zero Hunger
Montenegro,MNE,Europe and Central Asia,food,United Nations Development Assistance Framework,MNE_food_1,1.0,2 Zero Hunger
Azerbaijan,AZE,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,AZE_food_2,2.0,2 Zero Hunger
Azerbaijan,AZE,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,AZE_food_2,2.0,2 Zero Hunger
Azerbaijan,AZE,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,AZE_food_2,2.0,2 Zero Hunger
Azerbaijan,AZE,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,AZE_food_2,2.0,2 Zero Hunger
Kyrgyzstan,KGZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KGZ_food_2,2.0,"1 No Poverty; 2 Zero Hunger; 5 Gender Equality; 6 Clean Water and Sanitation; 8 Decent Jobs and Economic Growth; 9 Industry, Innovation and Infrastructure; 15 Life on Land"
Armenia,ARM,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ARM_food_4,4.0,5 Gender Equality
Kyrgyzstan,KGZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KGZ_food_2,2.0,2 Zero Hunger
Kyrgyzstan,KGZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KGZ_food_2,2.0,2 Zero Hunger
Kyrgyzstan,KGZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KGZ_food_2,2.0,1 No Poverty; 2 Zero Hunger; 5 Gender Equality; 13 Climate Action; 17 Partnerships for the Goals
Turkmenistan,TKM,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TKM_food_2,2.0,12 Responsible Consumption and Production
Kyrgyzstan,KGZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KGZ_food_2,2.0,1 No Poverty; 2 Zero Hunger; 5 Gender Equality
Kyrgyzstan,KGZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KGZ_food_2,2.0,1 No Poverty; 2 Zero Hunger; 8 Decent Jobs and Economic Growth; 17 Partnerships for the Goals
Kyrgyzstan,KGZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KGZ_food_2,2.0,2 Zero Hunger
Turkey,TUR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TUR_food_1,1.0,2 Zero Hunger; 4 Quality Education
Belarus,BLR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,BLR_food_1,1.0,2 Zero Hunger
Turkmenistan,TKM,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TKM_food_1,1.0,2 Zero Hunger
Albania,ALB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ALB_food_2,2.0,"2 Zero Hunger; 8 Decent Jobs and Economic Growth; 9 Industry, Innovation and Infrastructure"
Uzbekistan,UZB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UZB_food_2,2.0,2 Zero Hunger; 3 Good Health and Well-being
Turkey,TUR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TUR_food_1,1.0,2 Zero Hunger; 4 Quality Education
Albania,ALB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ALB_food_1,1.0,3 Good Health and Well-being
Kazakhstan,KAZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KAZ_food_3,3.0,3 Good Health and Well-being
Belarus,BLR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,BLR_food_1,1.0,2 Zero Hunger
Armenia,ARM,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ARM_food_2,2.0,1 No Poverty; 2 Zero Hunger
Turkey,TUR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TUR_food_2,2.0,1 No Poverty; 2 Zero Hunger; 8 Decent Jobs and Economic Growth
"Moldova, Republic of",MDA,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,MDA_food_2,2.0,1 No Poverty; 2 Zero Hunger; 7 Affordable and Clean Energy
Kazakhstan,KAZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KAZ_food_2,2.0,2 Zero Hunger
Belarus,BLR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,BLR_food_1,1.0,2 Zero Hunger; 8 Decent Jobs and Economic Growth
Turkey,TUR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TUR_food_1,1.0,2 Zero Hunger
"Moldova, Republic of",MDA,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,MDA_food_2,2.0,1 No Poverty; 2 Zero Hunger
Armenia,ARM,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ARM_food_2,2.0,"1 No Poverty; 8 Decent Jobs and Economic Growth; 9 Industry, Innovation and Infrastructure"
Tajikistan,TJK,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TJK_food_1,1.0,2 Zero Hunger
Tajikistan,TJK,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TJK_food_1,1.0,2 Zero Hunger; 3 Good Health and Well-being
Tajikistan,TJK,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TJK_food_2,2.0,2 Zero Hunger
Turkey,TUR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TUR_food_1,1.0,3 Good Health and Well-being; 6 Clean Water and Sanitation
Armenia,ARM,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ARM_food_1,1.0,2 Zero Hunger
Armenia,ARM,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ARM_food_2,2.0,1 No Poverty; 2 Zero Hunger
Armenia,ARM,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ARM_food_3,3.0,17 Partnerships for the Goals
Tajikistan,TJK,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TJK_food_1,1.0,3 Good Health and Well-being; 6 Clean Water and Sanitation
Azerbaijan,AZE,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,AZE_food_3,3.0,2 Zero Hunger; 13 Climate Action
Kazakhstan,KAZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KAZ_food_3,3.0,12 Responsible Consumption and Production
Tajikistan,TJK,Europe and Central Asia,food,United Nations Development Assistance Framework,TJK_food_3,3.0,3 Good Health and Well-being
Azerbaijan,AZE,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,AZE_food_3,3.0,6 Clean Water and Sanitation; 13 Climate Action
Kazakhstan,KAZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KAZ_food_3,3.0,1 No Poverty; 2 Zero Hunger; 5 Gender Equality; 8 Decent Jobs and Economic Growth
Tajikistan,TJK,Europe and Central Asia,food,United Nations Development Assistance Framework,TJK_food_3,3.0,3 Good Health and Well-being
Azerbaijan,AZE,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,AZE_food_3,3.0,2 Zero Hunger; 6 Clean Water and Sanitation; 10 Reduced Inequalities; 13 Climate Action; 17 Partnerships for the Goals
Montenegro,MNE,Europe and Central Asia,food,United Nations Development Assistance Framework,MNE_food_1,1.0,12 Responsible Consumption and Production
Tajikistan,TJK,Europe and Central Asia,food,United Nations Development Assistance Framework,TJK_food_3,3.0,3 Good Health and Well-being
Albania,ALB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ALB_food_3,3.0,1 No Poverty; 2 Zero Hunger; 8 Decent Jobs and Economic Growth; 12 Responsible Consumption and Production
Kazakhstan,KAZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KAZ_food_3,3.0,1 No Poverty; 5 Gender Equality; 8 Decent Jobs and Economic Growth
Albania,ALB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ALB_food_3,3.0,1 No Poverty; 8 Decent Jobs and Economic Growth
Uzbekistan,UZB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UZB_food_2,2.0,2 Zero Hunger; 5 Gender Equality
North Macedonia,MKD,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,MKD_food_2,2.0,12 Responsible Consumption and Production
Uzbekistan,UZB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UZB_food_2,2.0,2 Zero Hunger; 13 Climate Action
Uzbekistan,UZB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UZB_food_2,2.0,2 Zero Hunger; 5 Gender Equality; 13 Climate Action
Uzbekistan,UZB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UZB_food_2,2.0,2 Zero Hunger
Uzbekistan,UZB,Europe and Central Asia,food,United Nations Development Assistance Framework,UZB_food_3,3.0,-
Azerbaijan,AZE,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,AZE_food_3,3.0,2 Zero Hunger; 13 Climate Action
Uzbekistan,UZB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UZB_food_2,2.0,1 No Poverty; 2 Zero Hunger; 3 Good Health and Well-being
Kyrgyzstan,KGZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KGZ_food_3,3.0,"1 No Poverty; 2 Zero Hunger; 5 Gender Equality; 8 Decent Jobs and Economic Growth; 9 Industry, Innovation and Infrastructure; 10 Reduced Inequalities; 11 Sustainable Cities and Communities; 13 Climate Action"
Azerbaijan,AZE,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,AZE_food_3,3.0,2 Zero Hunger
Tajikistan,TJK,Europe and Central Asia,food,United Nations Development Assistance Framework,TJK_food_3,3.0,2 Zero Hunger; 16 Peace and Justice - Strong Institutions
Tajikistan,TJK,Europe and Central Asia,food,United Nations Development Assistance Framework,TJK_food_3,3.0,2 Zero Hunger; 17 Partnerships for the Goals
Tajikistan,TJK,Europe and Central Asia,food,United Nations Development Assistance Framework,TJK_food_3,3.0,2 Zero Hunger; 17 Partnerships for the Goals
Tajikistan,TJK,Europe and Central Asia,food,United Nations Development Assistance Framework,TJK_food_3,3.0,2 Zero Hunger; 17 Partnerships for the Goals
Georgia,GEO,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,GEO_food_1,1.0,2 Zero Hunger
Tajikistan,TJK,Europe and Central Asia,food,United Nations Development Assistance Framework,TJK_food_3,3.0,2 Zero Hunger; 12 Responsible Consumption and Production; 17 Partnerships for the Goals
Georgia,GEO,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,GEO_food_1,1.0,2 Zero Hunger
Uzbekistan,UZB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UZB_food_2,2.0,1 No Poverty; 2 Zero Hunger; 8 Decent Jobs and Economic Growth
Tajikistan,TJK,Europe and Central Asia,food,United Nations Development Assistance Framework,TJK_food_3,3.0,2 Zero Hunger; 17 Partnerships for the Goals
Georgia,GEO,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,GEO_food_1,1.0,2 Zero Hunger
Tajikistan,TJK,Europe and Central Asia,food,United Nations Development Assistance Framework,TJK_food_3,3.0,2 Zero Hunger; 17 Partnerships for the Goals
Georgia,GEO,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,GEO_food_1,1.0,2 Zero Hunger
Uzbekistan,UZB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UZB_food_2,2.0,1 No Poverty; 2 Zero Hunger
Georgia,GEO,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,GEO_food_1,1.0,1 No Poverty; 2 Zero Hunger; 7 Affordable and Clean Energy; 10 Reduced Inequalities; 13 Climate Action
Uzbekistan,UZB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UZB_food_2,2.0,1 No Poverty; 2 Zero Hunger
Georgia,GEO,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,GEO_food_1,1.0,1 No Poverty
Georgia,GEO,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,GEO_food_1,1.0,4 Quality Education; 16 Peace and Justice - Strong Institutions
North Macedonia,MKD,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,MKD_food_2,2.0,15 Life on Land
Tajikistan,TJK,Europe and Central Asia,food,United Nations Development Assistance Framework,TJK_food_3,3.0,2 Zero Hunger
Tajikistan,TJK,Europe and Central Asia,food,United Nations Development Assistance Framework,TJK_food_3,3.0,2 Zero Hunger; 3 Good Health and Well-being; 5 Gender Equality
North Macedonia,MKD,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,MKD_food_2,2.0,2 Zero Hunger
Georgia,GEO,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,GEO_food_1,1.0,8 Decent Jobs and Economic Growth
Turkey,TUR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TUR_food_1,1.0,1 No Poverty
Armenia,ARM,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ARM_food_1,1.0,2 Zero Hunger
Uzbekistan,UZB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UZB_food_2,2.0,1 No Poverty; 2 Zero Hunger
Uzbekistan,UZB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UZB_food_2,2.0,1 No Poverty; 2 Zero Hunger; 5 Gender Equality
"Moldova, Republic of",MDA,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,MDA_food_1,1.0,2 Zero Hunger
Kyrgyzstan,KGZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KGZ_food_3,3.0,5 Gender Equality; 13 Climate Action
"Moldova, Republic of",MDA,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,MDA_food_4,4.0,3 Good Health and Well-being
"Moldova, Republic of",MDA,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,MDA_food_1,1.0,2 Zero Hunger
Turkey,TUR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TUR_food_2,2.0,2 Zero Hunger
Turkey,TUR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TUR_food_1,1.0,2 Zero Hunger
Belarus,BLR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,BLR_food_1,1.0,7 Affordable and Clean Energy
Belarus,BLR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,BLR_food_1,1.0,1 No Poverty
Turkey,TUR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TUR_food_3,3.0,"9 Industry, Innovation and Infrastructure; 14 Life Below Water"
"Moldova, Republic of",MDA,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,MDA_food_4,4.0,15 Life on Land
Kazakhstan,KAZ,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,KAZ_food_3,3.0,1 No Poverty
Turkmenistan,TKM,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TKM_food_3,3.0,3 Good Health and Well-being
Tajikistan,TJK,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TJK_food_2,2.0,17 Partnerships for the Goals
Albania,ALB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,ALB_food_2,2.0,2 Zero Hunger; 15 Life on Land
Montenegro,MNE,Europe and Central Asia,food,United Nations Development Assistance Framework,MNE_food_1,1.0,8 Decent Jobs and Economic Growth
Uzbekistan,UZB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UZB_food_2,2.0,2 Zero Hunger
Uzbekistan,UZB,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,UZB_food_2,2.0,2 Zero Hunger; 3 Good Health and Well-being
"Moldova, Republic of",MDA,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,MDA_food_3,3.0,2 Zero Hunger; 17 Partnerships for the Goals
Turkey,TUR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TUR_food_4,4.0,2 Zero Hunger; 10 Reduced Inequalities
Tajikistan,TJK,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TJK_food_1,1.0,2 Zero Hunger; 3 Good Health and Well-being
Turkey,TUR,Europe and Central Asia,food,United Nations Sustainable Development Cooperation Framework,TUR_food_1,1.0,5 Gender Equality; 8 Decent Jobs and Economic Growth
